run_id,model,lang,n,seed,val_loss,val_f1_weighted,test_f1_weighted,train_seconds
scratch_ibo_750_1024,scratch,ibo,750,1024,4.135983943939209,0.8001064318210276,0.7223915581947256,17.715217113494873
scratch_ibo_full_42,scratch,ibo,full,42,3.2961409091949463,0.8166987500532432,0.8041690429143659,35.83265948295593
scratch_ibo_full_123,scratch,ibo,full,123,4.108925819396973,0.8273680720240221,0.7729691564753866,37.711899280548096
scratch_ibo_full_456,scratch,ibo,full,456,4.137220859527588,0.7982493565356947,0.806304610759788,31.101773023605347
scratch_ibo_full_789,scratch,ibo,full,789,3.4343323707580566,0.815569313080794,0.787109470084166,35.07271456718445
scratch_ibo_full_1024,scratch,ibo,full,1024,1.6496773958206177,0.7984878542572621,0.7759188837911839,16.23840856552124
scratch_hau_100_42,scratch,hau,100,42,4.884634971618652,0.6214229155635022,0.5858701628287427,10.874032020568848
scratch_hau_100_123,scratch,hau,100,123,3.344088077545166,0.5978198611384752,0.5989411699755715,11.635560750961304
scratch_hau_100_456,scratch,hau,100,456,2.9370827674865723,0.6415462439339338,0.6079355640905165,8.685673952102661
scratch_hau_100_789,scratch,hau,100,789,5.064150810241699,0.5642120251847587,0.5329611136296619,11.280190229415894
scratch_hau_100_1024,scratch,hau,100,1024,6.283083438873291,0.5563263271201289,0.49672077592892755,10.715290784835815
scratch_hau_250_42,scratch,hau,250,42,2.695019483566284,0.737053011725416,0.690685252695717,16.271554231643677
scratch_hau_250_123,scratch,hau,250,123,1.865548014640808,0.6989156193577208,0.6614469263041279,7.699842929840088
scratch_hau_250_456,scratch,hau,250,456,3.393878936767578,0.7375981011688566,0.707977666689428,15.13443660736084
scratch_hau_250_789,scratch,hau,250,789,3.1943445205688477,0.7147537820700338,0.6766721997871995,16.673993349075317
scratch_hau_250_1024,scratch,hau,250,1024,3.706777572631836,0.7131183554051784,0.651640070492321,13.282695293426514
scratch_hau_500_42,scratch,hau,500,42,2.7725985050201416,0.7939589914221293,0.74777174573344,14.140888214111328
scratch_hau_500_123,scratch,hau,500,123,3.049349308013916,0.8088515321093618,0.7561196006595405,18.350147485733032
scratch_hau_500_456,scratch,hau,500,456,3.3183600902557373,0.7794084800966375,0.7835279214845021,20.36038303375244
scratch_hau_500_789,scratch,hau,500,789,1.5637332201004028,0.7866418694712035,0.7079486559612953,10.120012998580933
scratch_hau_500_1024,scratch,hau,500,1024,1.645007610321045,0.7714055545311105,0.7550326120583969,10.507837057113647
scratch_hau_750_42,scratch,hau,750,42,2.889723062515259,0.8296009292328761,0.7449963698551515,17.096172332763672
scratch_hau_750_123,scratch,hau,750,123,1.2330142259597778,0.8000063454002805,0.7362008111865241,10.973570108413696
scratch_hau_750_456,scratch,hau,750,456,0.8724151253700256,0.7847140472004414,0.7690156293805401,10.502601623535156
scratch_hau_750_789,scratch,hau,750,789,2.4983792304992676,0.8130284391353321,0.768008539090109,18.07203507423401
scratch_hau_750_1024,scratch,hau,750,1024,2.956207275390625,0.8308409168480642,0.7984011899535897,24.60554313659668
scratch_hau_full_42,scratch,hau,full,42,2.1121461391448975,0.8837619044358759,0.8170509186957515,41.91904950141907
scratch_hau_full_123,scratch,hau,full,123,1.3634083271026611,0.8661564776972781,0.8129148027428458,25.518683195114136
scratch_hau_full_456,scratch,hau,full,456,2.314436912536621,0.879302536234123,0.8486096807434785,42.70231103897095
scratch_hau_full_789,scratch,hau,full,789,2.130328416824341,0.859732808731757,0.8107546892396802,30.87153673171997
scratch_hau_full_1024,scratch,hau,full,1024,2.2870888710021973,0.8665465555796545,0.8175108966963031,34.439337968826294
scratch_amh_100_42,scratch,amh,100,42,0.8283464312553406,0.7052842710685517,0.6964976822047532,5.1338653564453125
scratch_amh_100_123,scratch,amh,100,123,2.176755428314209,0.7274928577594395,0.7584940137391786,7.207479238510132
scratch_amh_100_456,scratch,amh,100,456,2.5017266273498535,0.7296062291428888,0.7048725436869782,8.248145341873169
scratch_amh_100_789,scratch,amh,100,789,6.355955600738525,0.6849206415603759,0.6541341105591447,9.725380420684814
scratch_amh_100_1024,scratch,amh,100,1024,1.901995062828064,0.7020151857879063,0.7012401504611574,6.053430557250977
scratch_amh_250_42,scratch,amh,250,42,1.6335656642913818,0.8313465318109852,0.8250378516508613,9.875849962234497
scratch_amh_250_123,scratch,amh,250,123,1.3284167051315308,0.8508993200263215,0.7952633640936807,7.353024244308472
scratch_amh_250_456,scratch,amh,250,456,2.407790184020996,0.8493316671508161,0.832084237801207,10.275166988372803
scratch_amh_250_789,scratch,amh,250,789,1.012013554573059,0.7897706189332506,0.7662336796028255,6.466761350631714
scratch_amh_250_1024,scratch,amh,250,1024,3.5803067684173584,0.8061206981076576,0.8026972046662284,11.493915557861328
scratch_amh_500_42,scratch,amh,500,42,2.3930842876434326,0.8238961362141654,0.8167943941854738,11.475339412689209
scratch_amh_500_123,scratch,amh,500,123,1.8752275705337524,0.8522547847199311,0.82201800177798,11.211832284927368
scratch_amh_500_456,scratch,amh,500,456,3.0499937534332275,0.8521327190786002,0.8622235136683075,17.65014672279358
scratch_amh_500_789,scratch,amh,500,789,2.1555070877075195,0.8458132677199999,0.8003091709177109,12.976007223129272
scratch_amh_500_1024,scratch,amh,500,1024,1.5103601217269897,0.863522851073779,0.8682322241458661,11.299152612686157
scratch_amh_750_42,scratch,amh,750,42,2.6475868225097656,0.8639765437384307,0.8615518852980859,16.361382246017456
scratch_amh_750_123,scratch,amh,750,123,0.901864230632782,0.8884910999498606,0.84373709015581,15.00332260131836
scratch_amh_750_456,scratch,amh,750,456,1.505445122718811,0.8769864660907783,0.8480870398966779,13.042883396148682
scratch_amh_750_789,scratch,amh,750,789,2.1661384105682373,0.8744600428991167,0.8351840592303789,15.674639463424683
scratch_amh_750_1024,scratch,amh,750,1024,1.8745601177215576,0.8572759995615644,0.8624248558216349,13.225853443145752
scratch_amh_full_42,scratch,amh,full,42,0.593763530254364,0.900328612133691,0.8779601710503332,15.716696500778198
scratch_amh_full_123,scratch,amh,full,123,1.440199375152588,0.9096891981184034,0.8883636849555528,29.133846282958984
scratch_amh_full_456,scratch,amh,full,456,1.7294389009475708,0.8839816350363096,0.8942190168648693,27.138887643814087
scratch_amh_full_789,scratch,amh,full,789,1.3319344520568848,0.9037381092811881,0.8987065182063724,32.335638999938965
scratch_amh_full_1024,scratch,amh,full,1024,1.0615113973617554,0.9098876297033315,0.8915524432203424,35.08924961090088
scratch_orm_100_42,scratch,orm,100,42,5.390200138092041,0.6784026825179089,0.6597984545399094,7.13506817817688
scratch_orm_100_123,scratch,orm,100,123,3.8186302185058594,0.6460032288551629,0.6045667668092132,7.061519145965576
scratch_orm_100_456,scratch,orm,100,456,3.415208578109741,0.7341302562922593,0.6822701065550381,7.827423572540283
scratch_orm_100_789,scratch,orm,100,789,4.632587432861328,0.7104862909524396,0.6544575962049495,7.691926717758179
scratch_orm_100_1024,scratch,orm,100,1024,3.3804969787597656,0.6714697302458977,0.6411606561356024,6.272244453430176
scratch_orm_250_42,scratch,orm,250,42,2.861124038696289,0.7678574616415633,0.7575913841015139,7.932536602020264
scratch_orm_250_123,scratch,orm,250,123,3.0569167137145996,0.7846151167000106,0.7674502104916591,10.255431652069092
scratch_orm_250_456,scratch,orm,250,456,3.2020437717437744,0.7693771647835267,0.7530469011442901,9.807670593261719
scratch_orm_250_789,scratch,orm,250,789,3.01171612739563,0.8051026013444315,0.766755812826369,9.290019750595093
scratch_orm_250_1024,scratch,orm,250,1024,2.713024854660034,0.7684397507736478,0.781873827337448,7.995361566543579
scratch_orm_500_42,scratch,orm,500,42,4.258260726928711,0.8053475780167989,0.7668759560594394,19.24674892425537
scratch_orm_500_123,scratch,orm,500,123,3.298421859741211,0.8240144990610047,0.7443215502215158,17.444075107574463
scratch_orm_500_456,scratch,orm,500,456,3.5033907890319824,0.8159818986790361,0.7781180011006694,13.617147207260132
scratch_orm_500_789,scratch,orm,500,789,3.152833938598633,0.87926837563836,0.7876351568569072,19.175501346588135
scratch_orm_500_1024,scratch,orm,500,1024,1.69082510471344,0.7900704546274165,0.7690301624017171,9.633270740509033
scratch_orm_750_42,scratch,orm,750,42,2.9204795360565186,0.8439842663694006,0.8357374642014468,20.744245052337646
scratch_orm_750_123,scratch,orm,750,123,1.7274370193481445,0.8175493916234656,0.7767057114728856,12.151165008544922
scratch_orm_750_456,scratch,orm,750,456,2.190378189086914,0.8276049486912659,0.7964636941665486,12.805626630783081
scratch_orm_750_789,scratch,orm,750,789,0.8666486144065857,0.8500891127922849,0.7661099815003753,10.01422381401062
scratch_orm_750_1024,scratch,orm,750,1024,1.995959997177124,0.8345205115444743,0.7945650384919809,11.458930492401123
scratch_orm_full_42,scratch,orm,full,42,1.871161699295044,0.8819639021081787,0.8332002904015795,33.32261919975281
scratch_orm_full_123,scratch,orm,full,123,1.3128470182418823,0.8916357819923733,0.8265200591325568,21.71737241744995
scratch_orm_full_456,scratch,orm,full,456,1.2346305847167969,0.8375602000457683,0.8171417016883336,15.12124252319336
scratch_orm_full_789,scratch,orm,full,789,1.9048597812652588,0.8645907688648743,0.8274084939450794,18.84173059463501
scratch_orm_full_1024,scratch,orm,full,1024,2.369138240814209,0.8652217764536606,0.8405191968881185,22.978904962539673
scratch_pcm_100_42,scratch,pcm,100,42,2.1118602752685547,0.7990150448959243,0.7982690076715669,5.870181322097778
scratch_pcm_100_123,scratch,pcm,100,123,1.1154996156692505,0.7826511644588137,0.77411854838673,5.184778928756714
scratch_pcm_100_456,scratch,pcm,100,456,4.505705833435059,0.7393279646889035,0.723866507358704,6.8695313930511475
scratch_pcm_100_789,scratch,pcm,100,789,3.1452577114105225,0.7242035253421617,0.7707795476454772,7.842751502990723
scratch_pcm_100_1024,scratch,pcm,100,1024,2.075382947921753,0.7429766333550042,0.7547335594630801,6.356901407241821
scratch_pcm_250_42,scratch,pcm,250,42,2.1130902767181396,0.8227006566628307,0.8915498137043806,8.521084308624268
scratch_pcm_250_123,scratch,pcm,250,123,0.9009210467338562,0.885085481866039,0.8642281010810555,7.368652582168579
scratch_pcm_250_456,scratch,pcm,250,456,2.099872589111328,0.8605738428681031,0.873340672213623,9.124285697937012
scratch_pcm_250_789,scratch,pcm,250,789,2.4056878089904785,0.8241200242024568,0.8414531738098189,11.330903053283691
scratch_pcm_250_1024,scratch,pcm,250,1024,1.4938850402832031,0.8869885274684037,0.8776570125282405,11.551164150238037
scratch_pcm_500_42,scratch,pcm,500,42,2.6911983489990234,0.87340189412456,0.8769235279743147,15.598402500152588
scratch_pcm_500_123,scratch,pcm,500,123,1.8053287267684937,0.8685779594366853,0.8892541574449908,11.145623922348022
scratch_pcm_500_456,scratch,pcm,500,456,3.1653904914855957,0.8680943024983273,0.8983522568428867,13.668017864227295
scratch_pcm_500_789,scratch,pcm,500,789,2.7200469970703125,0.8725467393230552,0.8750761593839731,14.001284837722778
scratch_pcm_500_1024,scratch,pcm,500,1024,1.8202811479568481,0.8782877629918222,0.9111428221716519,12.378397941589355
scratch_pcm_750_42,scratch,pcm,750,42,2.7258613109588623,0.8715392794340164,0.8910367239337811,16.45871591567993
scratch_pcm_750_123,scratch,pcm,750,123,3.0937633514404297,0.8899825409559765,0.894069820889493,16.858481407165527
