run_id,model,dataset,lang,n,seed,val_loss,val_f1_weighted,test_f1_weighted,train_seconds
scratch_gaz_250_456,scratch,sib200,gaz,250,456,10.717964172363281,0.370634198027815,0.370634198027815,6.536376476287842
scratch_gaz_250_123,scratch,sib200,gaz,250,123,9.0766019821167,0.27582807091003814,0.27582807091003814,4.35637640953064
scratch_gaz_250_42,scratch,sib200,gaz,250,42,9.627182960510254,0.4106215306215306,0.4106215306215306,7.028578519821167
scratch_gaz_100_1024,scratch,sib200,gaz,100,1024,12.170360565185547,0.2758633633633634,0.2758633633633634,6.1578757762908936
scratch_gaz_100_789,scratch,sib200,gaz,100,789,7.4584269523620605,0.3284623528525968,0.3284623528525968,4.366324186325073
scratch_gaz_100_456,scratch,sib200,gaz,100,456,2.3521711826324463,0.2839319930976805,0.2839319930976805,2.9547576904296875
scratch_gaz_100_123,scratch,sib200,gaz,100,123,7.033468723297119,0.22642508799682554,0.22642508799682554,3.0659966468811035
scratch_gaz_100_42,scratch,sib200,gaz,100,42,6.267394542694092,0.2987276065072533,0.2987276065072533,3.870457887649536
scratch_lug_full_1024,scratch,sib200,lug,full,1024,6.288291931152344,0.49324644061486167,0.49324644061486167,6.242526531219482
scratch_lug_full_789,scratch,sib200,lug,full,789,6.6666364669799805,0.5760453253617006,0.5760453253617006,8.928451299667358
scratch_lug_full_456,scratch,sib200,lug,full,456,5.602290630340576,0.5292862249383988,0.5292862249383988,6.752891540527344
scratch_lug_full_123,scratch,sib200,lug,full,123,8.910616874694824,0.48310029157486784,0.48310029157486784,7.1435182094573975
scratch_lug_full_42,scratch,sib200,lug,full,42,2.8514304161071777,0.5275289905116088,0.5275289905116088,4.861527442932129
scratch_lug_500_1024,scratch,sib200,lug,500,1024,10.6187105178833,0.485083100195544,0.485083100195544,11.93640685081482
scratch_lug_500_789,scratch,sib200,lug,500,789,8.874113082885742,0.6049441402702272,0.6049441402702272,9.06120228767395
scratch_lug_500_123,scratch,sib200,lug,500,123,9.928162574768066,0.5336390860495239,0.5336390860495239,10.328516960144043
scratch_lug_500_456,scratch,sib200,lug,500,456,6.876694679260254,0.5136549309326078,0.5136549309326078,6.478452682495117
scratch_lug_500_42,scratch,sib200,lug,500,42,2.2868385314941406,0.528923660502608,0.528923660502608,5.166440963745117
scratch_lug_250_1024,scratch,sib200,lug,250,1024,7.717548370361328,0.42333706606942884,0.42333706606942884,5.153877019882202
scratch_lug_250_789,scratch,sib200,lug,250,789,3.1446311473846436,0.46721454562276127,0.46721454562276127,3.7945947647094727
scratch_lug_250_456,scratch,sib200,lug,250,456,4.963396072387695,0.38037945779881266,0.38037945779881266,3.8426401615142822
scratch_lug_250_123,scratch,sib200,lug,250,123,8.429476737976074,0.3683517858132164,0.3683517858132164,4.170212984085083
scratch_lug_250_42,scratch,sib200,lug,250,42,3.668379068374634,0.3794607794607795,0.3794607794607795,3.9710147380828857
scratch_lug_100_1024,scratch,sib200,lug,100,1024,9.675227165222168,0.2435228331780056,0.2435228331780056,4.535944223403931
scratch_lug_100_789,scratch,sib200,lug,100,789,12.445724487304688,0.22654822654822654,0.22654822654822654,3.662883996963501
scratch_lug_100_456,scratch,sib200,lug,100,456,3.239259958267212,0.27174424878599107,0.27174424878599107,2.869533061981201
scratch_lug_100_123,scratch,sib200,lug,100,123,9.716398239135742,0.3033077243603559,0.3033077243603559,4.836333751678467
scratch_lug_100_42,scratch,sib200,lug,100,42,9.11529541015625,0.37492843092598294,0.37492843092598294,7.981749057769775
scratch_ibo_full_1024,scratch,sib200,ibo,full,1024,6.358948230743408,0.6375832354093224,0.6375832354093224,8.80605959892273
scratch_ibo_full_789,scratch,sib200,ibo,full,789,2.2046120166778564,0.581922071256626,0.581922071256626,4.6755287647247314
scratch_ibo_full_456,scratch,sib200,ibo,full,456,3.3088948726654053,0.6628686702586285,0.6628686702586285,6.006401062011719
scratch_ibo_full_123,scratch,sib200,ibo,full,123,4.209095478057861,0.6351183859561379,0.6351183859561379,5.817930698394775
scratch_ibo_full_42,scratch,sib200,ibo,full,42,2.903174877166748,0.6303381303381304,0.6303381303381304,5.378036022186279
scratch_ibo_500_1024,scratch,sib200,ibo,500,1024,4.417115688323975,0.5877652545860227,0.5877652545860227,6.03712272644043
scratch_ibo_500_789,scratch,sib200,ibo,500,789,5.652924060821533,0.6272605341512903,0.6272605341512903,6.618859767913818
scratch_ibo_500_456,scratch,sib200,ibo,500,456,6.560591697692871,0.6647158292969533,0.6647158292969533,8.667032718658447
scratch_ibo_500_123,scratch,sib200,ibo,500,123,6.203773498535156,0.6862271362271363,0.6862271362271363,9.456380844116211
scratch_ibo_500_42,scratch,sib200,ibo,500,42,7.041537761688232,0.6554879859757908,0.6554879859757908,7.836019277572632
scratch_ibo_250_1024,scratch,sib200,ibo,250,1024,2.551048994064331,0.5449865449865451,0.5449865449865451,3.8543784618377686
scratch_ibo_250_789,scratch,sib200,ibo,250,789,8.454183578491211,0.5075215775215774,0.5075215775215774,6.253906965255737
scratch_ibo_250_456,scratch,sib200,ibo,250,456,3.010047197341919,0.5070071105365223,0.5070071105365223,4.136005878448486
scratch_ibo_250_123,scratch,sib200,ibo,250,123,6.577752113342285,0.5673235810114624,0.5673235810114624,6.305961847305298
scratch_ibo_250_42,scratch,sib200,ibo,250,42,4.168628692626953,0.4852154688220262,0.4852154688220262,4.096532344818115
scratch_ibo_100_1024,scratch,sib200,ibo,100,1024,8.710098266601562,0.34266957951039334,0.34266957951039334,4.230803966522217
