run_id,model,dataset,lang,n,seed,val_f1_weighted,test_f1_weighted,train_seconds
afroxlmr_run_full_1024,afroxlmr,sib200,run,full,1024,0.7917936831729936,0.7917936831729936,83.20184445381165
afroxlmr_run_full_789,afroxlmr,sib200,run,full,789,0.7984524788561795,0.7984524788561795,79.80879092216492
afroxlmr_sna_100_456,afroxlmr,sib200,sna,100,456,0.6767520232902323,0.6767520232902323,47.50474143028259
afroxlmr_sna_100_123,afroxlmr,sib200,sna,100,123,0.7314394094998229,0.7314394094998229,47.43004298210144
afroxlmr_run_full_456,afroxlmr,sib200,run,full,456,0.7976699756346518,0.7976699756346518,81.72652840614319
afroxlmr_sna_100_42,afroxlmr,sib200,sna,100,42,0.7037978895300547,0.7037978895300547,45.68769884109497
afroxlmr_run_500_1024,afroxlmr,sib200,run,500,1024,0.8455067268860372,0.8455067268860372,106.33725619316101
afroxlmr_run_full_42,afroxlmr,sib200,run,full,42,0.7759086672879776,0.7759086672879776,77.89097332954407
afroxlmr_run_full_123,afroxlmr,sib200,run,full,123,0.7933750823994726,0.7933750823994726,78.96539092063904
afroxlmr_run_500_789,afroxlmr,sib200,run,500,789,0.7932792767638503,0.7932792767638503,99.4555823802948
afroxlmr_run_500_456,afroxlmr,sib200,run,500,456,0.8070162454543793,0.8070162454543793,96.76711893081665
afroxlmr_run_500_42,afroxlmr,sib200,run,500,42,0.755925739019794,0.755925739019794,96.97902488708496
afroxlmr_run_500_123,afroxlmr,sib200,run,500,123,0.8076576576576576,0.8076576576576576,94.60216927528381
afroxlmr_run_250_789,afroxlmr,sib200,run,250,789,0.7440904854697958,0.7440904854697958,61.89731454849243
afroxlmr_run_250_1024,afroxlmr,sib200,run,250,1024,0.7994627328992654,0.7994627328992654,57.62904906272888
afroxlmr_run_250_456,afroxlmr,sib200,run,250,456,0.7611573111573111,0.7611573111573111,56.42929673194885
afroxlmr_run_250_123,afroxlmr,sib200,run,250,123,0.7722642615255474,0.7722642615255474,55.623274087905884
afroxlmr_run_250_42,afroxlmr,sib200,run,250,42,0.731800123104471,0.731800123104471,58.581878900527954
afroxlmr_gaz_full_789,afroxlmr,sib200,gaz,full,789,0.5572448466566113,0.5572448466566113,98.48194456100464
afroxlmr_run_100_789,afroxlmr,sib200,run,100,789,0.6998598101293865,0.6998598101293865,50.218042612075806
afroxlmr_gaz_full_1024,afroxlmr,sib200,gaz,full,1024,0.5354245597723858,0.5354245597723858,79.13975143432617
afroxlmr_run_100_1024,afroxlmr,sib200,run,100,1024,0.7056174560711765,0.7056174560711765,45.873255491256714
afroxlmr_run_100_456,afroxlmr,sib200,run,100,456,0.6396254148885727,0.6396254148885727,46.560378313064575
afroxlmr_run_100_123,afroxlmr,sib200,run,100,123,0.7124517374517374,0.7124517374517374,46.758920669555664
afroxlmr_run_100_42,afroxlmr,sib200,run,100,42,0.7154219938231158,0.7154219938231158,48.71407127380371
afroxlmr_gaz_full_456,afroxlmr,sib200,gaz,full,456,0.6002022950764369,0.6002022950764369,82.17217826843262
afroxlmr_gaz_full_42,afroxlmr,sib200,gaz,full,42,0.6115514010250852,0.6115514010250852,80.54119825363159
afroxlmr_gaz_full_123,afroxlmr,sib200,gaz,full,123,0.5874264357236493,0.5874264357236493,79.34757232666016
afroxlmr_gaz_500_1024,afroxlmr,sib200,gaz,500,1024,0.5824072954304019,0.5824072954304019,95.45250654220581
afroxlmr_gaz_500_123,afroxlmr,sib200,gaz,500,123,0.6307843934159724,0.6307843934159724,98.91334080696106
afroxlmr_gaz_500_789,afroxlmr,sib200,gaz,500,789,0.6199529964747357,0.6199529964747357,94.93872547149658
afroxlmr_gaz_500_456,afroxlmr,sib200,gaz,500,456,0.6452011778231777,0.6452011778231777,94.41061997413635
afroxlmr_gaz_500_42,afroxlmr,sib200,gaz,500,42,0.6282477326150339,0.6282477326150339,98.03930282592773
afroxlmr_gaz_250_1024,afroxlmr,sib200,gaz,250,1024,0.563113378407496,0.563113378407496,62.659717321395874
afroxlmr_gaz_250_789,afroxlmr,sib200,gaz,250,789,0.560458309309531,0.560458309309531,73.39861464500427
afroxlmr_gaz_250_456,afroxlmr,sib200,gaz,250,456,0.5638064337567813,0.5638064337567813,59.328134059906006
afroxlmr_gaz_250_123,afroxlmr,sib200,gaz,250,123,0.4384623763934109,0.4384623763934109,59.148714542388916
afroxlmr_gaz_250_42,afroxlmr,sib200,gaz,250,42,0.5221455017647626,0.5221455017647626,59.769036293029785
afroxlmr_lug_full_1024,afroxlmr,sib200,lug,full,1024,0.5847889274945327,0.5847889274945327,73.44533181190491
afroxlmr_gaz_100_1024,afroxlmr,sib200,gaz,100,1024,0.3439155142315931,0.3439155142315931,45.40357327461243
afroxlmr_lug_full_789,afroxlmr,sib200,lug,full,789,0.58315943484203,0.58315943484203,75.76498770713806
afroxlmr_lug_full_456,afroxlmr,sib200,lug,full,456,0.574123105856852,0.574123105856852,73.0035891532898
afroxlmr_lug_full_123,afroxlmr,sib200,lug,full,123,0.5343371943371943,0.5343371943371943,75.82527756690979
afroxlmr_gaz_100_456,afroxlmr,sib200,gaz,100,456,0.489066339066339,0.489066339066339,56.96940469741821
afroxlmr_gaz_100_789,afroxlmr,sib200,gaz,100,789,0.41934750716115193,0.41934750716115193,46.77823519706726
afroxlmr_gaz_100_42,afroxlmr,sib200,gaz,100,42,0.42107400374188036,0.42107400374188036,48.333648681640625
afroxlmr_gaz_100_123,afroxlmr,sib200,gaz,100,123,0.3962924462924463,0.3962924462924463,48.37425923347473
afroxlmr_lug_full_42,afroxlmr,sib200,lug,full,42,0.5649263196433008,0.5649263196433008,73.02588844299316
afroxlmr_lug_500_1024,afroxlmr,sib200,lug,500,1024,0.6339630692571869,0.6339630692571869,93.40774369239807
afroxlmr_lug_500_42,afroxlmr,sib200,lug,500,42,0.5294186856392903,0.5294186856392903,118.25361609458923
afroxlmr_lug_500_456,afroxlmr,sib200,lug,500,456,0.5751751751751751,0.5751751751751751,95.59000182151794
afroxlmr_lug_500_789,afroxlmr,sib200,lug,500,789,0.6466686466686467,0.6466686466686467,90.9727725982666
afroxlmr_lug_500_123,afroxlmr,sib200,lug,500,123,0.5878825746750276,0.5878825746750276,95.19996404647827
afroxlmr_lug_250_1024,afroxlmr,sib200,lug,250,1024,0.5172499975131554,0.5172499975131554,56.87142896652222
afroxlmr_lug_250_789,afroxlmr,sib200,lug,250,789,0.4990461411514044,0.4990461411514044,56.27682065963745
afroxlmr_lug_250_456,afroxlmr,sib200,lug,250,456,0.45105726461658674,0.45105726461658674,58.19498658180237
afroxlmr_lug_250_123,afroxlmr,sib200,lug,250,123,0.3993280210301487,0.3993280210301487,58.856239795684814
afroxlmr_lug_250_42,afroxlmr,sib200,lug,250,42,0.49382626773931126,0.49382626773931126,65.78343915939331
afroxlmr_lug_100_1024,afroxlmr,sib200,lug,100,1024,0.29821778300039176,0.29821778300039176,45.15405774116516
afroxlmr_lug_100_789,afroxlmr,sib200,lug,100,789,0.2641141141141141,0.2641141141141141,45.378963232040405
afroxlmr_lug_100_456,afroxlmr,sib200,lug,100,456,0.36775202721148664,0.36775202721148664,49.33324670791626
