lang,scale,seed,classifier,best_feature_type,best_clf_params,val_f1,test_f1,n_train
sna,100,1024,xgboost,char_3to5,{'n_estimators': 100},0.806407,0.832788,100
swa,750,789,naive_bayes,char_3to5,{'alpha': 0.01},0.790873,0.771828,750
swa,full,42,naive_bayes,char_3to5,{'alpha': 0.01},0.801697,0.790273,1658
swa,750,123,naive_bayes,char_3to5,{'alpha': 0.01},0.765694,0.760077,750
swa,750,42,naive_bayes,char_3to5,{'alpha': 0.01},0.775982,0.770803,750
swa,500,789,naive_bayes,char_3to5,{'alpha': 0.01},0.746444,0.754263,500
swa,500,123,naive_bayes,char_3to5,{'alpha': 0.01},0.740571,0.737309,500
swa,500,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.769631,0.749972,500
swa,750,1024,naive_bayes,word_bigram,{'alpha': 0.01},0.780449,0.764971,750
swa,750,456,naive_bayes,char_3to5,{'alpha': 0.01},0.796432,0.773955,750
swa,250,42,naive_bayes,word_bigram,{'alpha': 0.01},0.715149,0.715496,250
swa,500,456,naive_bayes,char_3to5,{'alpha': 0.01},0.77749,0.75666,500
swa,250,789,naive_bayes,word_bigram,{'alpha': 0.01},0.72274,0.723498,250
swa,250,1024,naive_bayes,word_bigram,{'alpha': 0.01},0.683863,0.685295,250
swa,100,1024,naive_bayes,word_unigram,{'alpha': 0.01},0.642825,0.663097,100
swa,100,42,naive_bayes,word_bigram,{'alpha': 0.01},0.635018,0.630498,100
swa,250,456,naive_bayes,char_3to5,{'alpha': 0.01},0.710998,0.705699,250
swa,250,123,naive_bayes,char_3to5,{'alpha': 0.01},0.692628,0.693388,250
swa,500,42,naive_bayes,word_bigram,{'alpha': 0.01},0.766401,0.776602,500
swa,100,789,naive_bayes,word_unigram,{'alpha': 0.01},0.670348,0.701352,100
swa,100,456,naive_bayes,word_unigram,{'alpha': 0.01},0.587455,0.607675,100
swa,100,123,naive_bayes,word_unigram,{'alpha': 0.01},0.651284,0.679649,100
swa,full,42,svm,char_3to5,{'C': 1.0},0.859225,0.825207,1658
swa,750,123,svm,word_unigram,{'C': 100.0},0.800452,0.80533,750
swa,750,1024,svm,word_bigram,{'C': 1.0},0.801962,0.788323,750
swa,750,456,svm,word_bigram,{'C': 100.0},0.826229,0.801985,750
swa,500,42,svm,char_3to5,{'C': 10.0},0.834555,0.795627,500
swa,500,1024,svm,char_3to5,{'C': 10.0},0.782393,0.780047,500
swa,750,42,svm,char_3to5,{'C': 1.0},0.827773,0.809139,750
swa,750,789,svm,word_unigram,{'C': 1.0},0.812867,0.817657,750
swa,500,789,svm,word_unigram,{'C': 10.0},0.811718,0.814578,500
swa,500,123,svm,word_unigram,{'C': 10.0},0.804617,0.793466,500
swa,500,456,svm,char_3to5,{'C': 10.0},0.811567,0.801363,500
swa,250,456,svm,char_3to5,{'C': 100.0},0.786613,0.761125,250
swa,100,42,svm,char_3to5,{'C': 100.0},0.711891,0.694278,100
swa,250,1024,svm,char_3to5,{'C': 10.0},0.742766,0.740295,250
swa,100,456,svm,char_3to5,{'C': 10.0},0.640867,0.68644,100
swa,250,789,svm,char_3to5,{'C': 10.0},0.781458,0.795124,250
swa,250,42,svm,char_3to5,{'C': 1.0},0.764037,0.781279,250
swa,100,789,svm,char_3to5,{'C': 100.0},0.748795,0.739181,100
swa,100,123,svm,word_unigram,{'C': 10.0},0.679824,0.694373,100
swa,250,123,svm,word_unigram,{'C': 100.0},0.75071,0.758114,250
swa,100,1024,svm,word_unigram,{'C': 100.0},0.70295,0.705432,100
swa,full,42,xgboost,char_3to5,{'n_estimators': 300},0.780082,0.78472,1658
swa,750,42,xgboost,char_3to5,{'n_estimators': 300},0.776136,0.755172,750
swa,750,1024,xgboost,word_unigram,{'n_estimators': 100},0.792384,0.758522,750
swa,750,789,xgboost,word_unigram,{'n_estimators': 100},0.71541,0.74754,750
swa,750,123,xgboost,char_3to5,{'n_estimators': 300},0.73934,0.753948,750
swa,750,456,xgboost,word_bigram,{'n_estimators': 100},0.751556,0.776886,750
swa,500,42,xgboost,char_3to5,{'n_estimators': 500},0.749684,0.707792,500
swa,500,789,xgboost,char_3to5,{'n_estimators': 500},0.737697,0.750476,500
swa,500,1024,xgboost,char_3to5,{'n_estimators': 100},0.734477,0.724077,500
swa,500,456,xgboost,char_3to5,{'n_estimators': 200},0.734544,0.73716,500
swa,500,123,xgboost,word_unigram,{'n_estimators': 300},0.712198,0.715148,500
swa,250,1024,xgboost,char_3to5,{'n_estimators': 500},0.641869,0.636554,250
swa,250,123,xgboost,char_3to5,{'n_estimators': 200},0.666179,0.702958,250
swa,250,42,xgboost,char_3to5,{'n_estimators': 100},0.711607,0.687942,250
swa,250,789,xgboost,char_3to5,{'n_estimators': 500},0.679374,0.679748,250
swa,250,456,xgboost,word_unigram,{'n_estimators': 100},0.653368,0.666369,250
swa,100,456,xgboost,char_3to5,{'n_estimators': 500},0.590592,0.608226,100
swa,100,42,xgboost,char_3to5,{'n_estimators': 500},0.603934,0.651086,100
swa,100,1024,xgboost,char_3to5,{'n_estimators': 100},0.562435,0.594065,100
swa,100,123,xgboost,char_3to5,{'n_estimators': 100},0.582892,0.606219,100
swa,100,789,xgboost,char_3to5,{'n_estimators': 200},0.608616,0.629344,100
