dataset,lang,scale,seed,classifier,best_feature_type,best_clf_params,val_f1,test_f1,n_train
afrisenti,hau,100,42,naive_bayes,char_3to5,{'alpha': 0.5},0.559272,0.557246,100
afrisenti,hau,full,42,svm,char_3to5,{'C': 1.0},0.773664,0.760946,14172
afrisenti,hau,500,1024,svm,char_3to5,{'C': 1.0},0.655348,0.60691,500
afrisenti,hau,500,789,svm,char_3to5,{'C': 1.0},0.664217,0.641883,500
afrisenti,hau,750,1024,svm,char_3to5,{'C': 0.1},0.658874,0.618837,750
afrisenti,hau,750,789,svm,char_3to5,{'C': 0.1},0.675598,0.661276,750
afrisenti,hau,750,42,svm,char_3to5,{'C': 1.0},0.670932,0.635236,750
afrisenti,hau,750,456,svm,char_3to5,{'C': 0.1},0.671313,0.652284,750
afrisenti,hau,250,42,svm,char_3to5,{'C': 1.0},0.62455,0.613318,250
afrisenti,hau,250,456,svm,char_3to5,{'C': 1.0},0.624804,0.607731,250
afrisenti,hau,500,42,svm,char_3to5,{'C': 0.1},0.661604,0.646025,500
afrisenti,hau,250,123,svm,char_3to5,{'C': 0.1},0.628324,0.611501,250
afrisenti,hau,750,123,svm,char_3to5,{'C': 0.1},0.672254,0.655474,750
afrisenti,hau,100,456,svm,char_3to5,{'C': 1.0},0.577823,0.585959,100
afrisenti,hau,250,789,svm,char_3to5,{'C': 0.1},0.650221,0.62155,250
afrisenti,hau,250,1024,svm,char_3to5,{'C': 1.0},0.614695,0.585014,250
afrisenti,hau,100,1024,svm,char_3to5,{'C': 1.0},0.56126,0.519373,100
afrisenti,hau,500,456,svm,char_3to5,{'C': 0.1},0.659135,0.632644,500
afrisenti,hau,100,42,svm,char_3to5,{'C': 1.0},0.578429,0.566888,100
afrisenti,hau,500,123,svm,char_3to5,{'C': 0.1},0.658989,0.652473,500
afrisenti,hau,100,123,svm,char_3to5,{'C': 0.1},0.604766,0.589848,100
afrisenti,hau,100,789,svm,char_3to5,{'C': 0.1},0.595831,0.586492,100
afrisenti,hau,full,42,xgboost,char_3to5,{'n_estimators': 500},0.765835,0.750069,14172
afrisenti,hau,750,456,xgboost,char_3to5,{'n_estimators': 100},0.655765,0.611012,750
afrisenti,hau,750,42,xgboost,char_3to5,{'n_estimators': 100},0.634689,0.616779,750
afrisenti,hau,750,1024,xgboost,char_3to5,{'n_estimators': 100},0.634651,0.586437,750
afrisenti,hau,750,789,xgboost,char_3to5,{'n_estimators': 100},0.632326,0.616916,750
afrisenti,hau,750,123,xgboost,char_3to5,{'n_estimators': 200},0.652638,0.622272,750
afrisenti,hau,500,789,xgboost,char_3to5,{'n_estimators': 100},0.607089,0.592266,500
afrisenti,hau,500,1024,xgboost,char_3to5,{'n_estimators': 100},0.613626,0.5635,500
afrisenti,hau,500,456,xgboost,char_3to5,{'n_estimators': 100},0.627847,0.591542,500
afrisenti,hau,500,123,xgboost,char_3to5,{'n_estimators': 100},0.624822,0.614686,500
afrisenti,hau,500,42,xgboost,char_3to5,{'n_estimators': 100},0.616108,0.600707,500
afrisenti,hau,250,789,xgboost,char_3to5,{'n_estimators': 100},0.592755,0.579724,250
afrisenti,hau,250,123,xgboost,char_3to5,{'n_estimators': 100},0.61181,0.539587,250
afrisenti,hau,250,456,xgboost,char_3to5,{'n_estimators': 500},0.599243,0.55479,250
afrisenti,hau,250,42,xgboost,char_3to5,{'n_estimators': 100},0.567198,0.560655,250
afrisenti,hau,250,1024,xgboost,char_3to5,{'n_estimators': 100},0.583297,0.513614,250
afrisenti,hau,100,123,xgboost,char_3to5,{'n_estimators': 100},0.556352,0.550599,100
afrisenti,hau,100,1024,xgboost,char_3to5,{'n_estimators': 100},0.524957,0.501835,100
afrisenti,hau,100,42,xgboost,char_3to5,{'n_estimators': 200},0.524197,0.469704,100
afrisenti,hau,100,456,xgboost,char_3to5,{'n_estimators': 100},0.537449,0.517204,100
afrisenti,hau,100,789,xgboost,char_3to5,{'n_estimators': 500},0.526199,0.424061,100
afrisenti,ibo,750,123,naive_bayes,char_3to5,{'alpha': 0.1},0.680792,0.694955,750
afrisenti,ibo,500,1024,naive_bayes,word_unigram,{'alpha': 0.1},0.674039,0.660626,500
afrisenti,ibo,750,42,naive_bayes,char_3to5,{'alpha': 0.1},0.688985,0.695653,750
afrisenti,ibo,full,42,naive_bayes,word_bigram,{'alpha': 0.1},0.789279,0.772208,10192
afrisenti,ibo,500,42,naive_bayes,word_bigram,{'alpha': 0.1},0.669696,0.653319,500
afrisenti,ibo,500,789,naive_bayes,word_bigram,{'alpha': 0.1},0.665974,0.661239,500
afrisenti,ibo,750,789,naive_bayes,char_3to5,{'alpha': 0.1},0.677957,0.672635,750
afrisenti,ibo,250,123,naive_bayes,word_bigram,{'alpha': 0.1},0.642242,0.633848,250
afrisenti,ibo,250,42,naive_bayes,char_3to5,{'alpha': 0.1},0.62698,0.652769,250
afrisenti,ibo,250,789,naive_bayes,word_unigram,{'alpha': 0.1},0.634878,0.616529,250
afrisenti,ibo,750,456,naive_bayes,word_bigram,{'alpha': 0.1},0.678932,0.677288,750
afrisenti,ibo,100,123,naive_bayes,char_3to5,{'alpha': 0.01},0.580561,0.584617,100
afrisenti,ibo,500,456,naive_bayes,word_bigram,{'alpha': 0.1},0.674429,0.66559,500
afrisenti,ibo,500,123,naive_bayes,char_3to5,{'alpha': 0.1},0.651563,0.676124,500
afrisenti,ibo,750,1024,naive_bayes,word_unigram,{'alpha': 0.1},0.690181,0.667647,750
afrisenti,ibo,100,42,naive_bayes,char_3to5,{'alpha': 0.1},0.576711,0.585096,100
afrisenti,ibo,250,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.618621,0.638129,250
afrisenti,ibo,250,456,naive_bayes,word_bigram,{'alpha': 0.1},0.643905,0.638446,250
afrisenti,ibo,100,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.555156,0.56761,100
afrisenti,ibo,100,456,naive_bayes,char_3to5,{'alpha': 0.01},0.562083,0.555707,100
afrisenti,ibo,100,789,naive_bayes,char_3to5,{'alpha': 0.01},0.577974,0.582972,100
afrisenti,ibo,full,42,svm,word_bigram,{'C': 1.0},0.797262,0.791048,10192
afrisenti,ibo,250,456,svm,word_bigram,{'C': 100.0},0.644113,0.645972,250
afrisenti,ibo,750,456,svm,word_bigram,{'C': 10.0},0.697206,0.689437,750
afrisenti,ibo,500,789,svm,char_3to5,{'C': 10.0},0.671219,0.664654,500
afrisenti,ibo,750,1024,svm,char_3to5,{'C': 1.0},0.710911,0.704575,750
afrisenti,ibo,750,123,svm,char_3to5,{'C': 1.0},0.725186,0.717865,750
afrisenti,ibo,750,789,svm,word_bigram,{'C': 1.0},0.691526,0.688547,750
afrisenti,ibo,100,456,svm,word_unigram,{'C': 1.0},0.556258,0.560712,100
afrisenti,ibo,100,1024,svm,char_3to5,{'C': 100.0},0.576604,0.566629,100
afrisenti,ibo,250,42,svm,char_3to5,{'C': 1.0},0.641609,0.650772,250
afrisenti,ibo,500,456,svm,char_3to5,{'C': 10.0},0.697261,0.695472,500
afrisenti,ibo,750,42,svm,char_3to5,{'C': 1.0},0.702574,0.708317,750
afrisenti,ibo,100,789,svm,char_3to5,{'C': 10.0},0.585849,0.590853,100
afrisenti,ibo,250,123,svm,char_3to5,{'C': 10.0},0.645749,0.66228,250
afrisenti,ibo,100,123,svm,char_3to5,{'C': 100.0},0.587818,0.589863,100
afrisenti,ibo,500,1024,svm,char_3to5,{'C': 1.0},0.683462,0.688198,500
afrisenti,ibo,500,42,svm,char_3to5,{'C': 1.0},0.677911,0.689777,500
afrisenti,ibo,100,42,svm,char_3to5,{'C': 100.0},0.585062,0.578931,100
afrisenti,ibo,250,1024,svm,word_unigram,{'C': 1.0},0.624807,0.617814,250
afrisenti,ibo,500,123,svm,char_3to5,{'C': 100.0},0.695625,0.683659,500
afrisenti,ibo,250,789,svm,word_bigram,{'C': 100.0},0.641917,0.620365,250
afrisenti,ibo,full,42,xgboost,char_3to5,{'n_estimators': 500},0.780629,0.793144,10192
afrisenti,ibo,750,789,xgboost,char_3to5,{'n_estimators': 300},0.646098,0.636817,750
afrisenti,ibo,750,123,xgboost,char_3to5,{'n_estimators': 200},0.666153,0.668793,750
afrisenti,ibo,750,42,xgboost,char_3to5,{'n_estimators': 100},0.641724,0.643599,750
afrisenti,ibo,750,1024,xgboost,char_3to5,{'n_estimators': 100},0.64571,0.646528,750
afrisenti,ibo,750,456,xgboost,char_3to5,{'n_estimators': 100},0.645416,0.637442,750
afrisenti,ibo,500,123,xgboost,char_3to5,{'n_estimators': 100},0.635454,0.631311,500
afrisenti,ibo,500,42,xgboost,char_3to5,{'n_estimators': 100},0.616185,0.621043,500
afrisenti,ibo,500,789,xgboost,char_3to5,{'n_estimators': 100},0.629177,0.612769,500
afrisenti,ibo,500,1024,xgboost,char_3to5,{'n_estimators': 100},0.602792,0.635751,500
afrisenti,ibo,500,456,xgboost,char_3to5,{'n_estimators': 200},0.634817,0.610817,500
afrisenti,ibo,250,123,xgboost,char_3to5,{'n_estimators': 100},0.555517,0.547502,250
